RST Digital Inclinometer Data
File Version,2.21
File Type,Digital Inclinometer
Site,SHIMEN
Borehole,B1
Probe Serial#,DP21730000,Cal Date (m/d/y),01/08/2019
Reel Serial#,DR31080000
Reading Date(m/d/y),11/30/2021,12:26:01
Depth,-29.0,0.5
Interval,0.5
Depth Units,meters
Reading Units,mm
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-17.79038,17.30944,-0.09570,1.00052
-1.0,-2.75865,2.19571,2.00702,-1.14985
-1.5,6.77227,-7.46575,8.24136,-7.34931
-2.0,9.11472,-9.69799,5.07094,-4.25801
-2.5,10.75354,-11.33309,4.22326,-3.39661
-3.0,9.08705,-9.66381,2.46172,-1.59283
-3.5,7.93937,-8.57804,2.24545,-1.38706
-4.0,7.13110,-7.73552,0.76377,0.05517
-4.5,4.99056,-5.59822,-1.94989,2.80362
-5.0,3.95584,-4.58771,-6.34042,7.15864
-5.5,4.26531,-4.72744,-7.24427,8.17857
-6.0,5.47809,-6.40201,-1.11358,1.80731
-6.5,3.92570,-4.51327,-2.82877,3.63983
-7.0,5.42640,-6.05460,-2.51268,3.38125
-7.5,6.46592,-7.07314,-1.13046,2.02586
-8.0,5.89381,-6.54727,-2.97899,3.75999
-8.5,6.54206,-7.22272,-5.28591,6.21685
-9.0,4.98656,-5.52943,-4.36518,5.15036
-9.5,3.37388,-4.04764,-1.33625,2.16384
-10.0,5.38546,-6.03962,3.37129,-2.48982
-10.5,8.74439,-9.37762,3.88581,-3.08522
-11.0,6.64182,-7.29364,2.66124,-1.83575
-11.5,2.48937,-3.20048,5.19640,-4.41082
-12.0,0.84535,-1.30925,10.72539,-9.83633
-12.5,12.83412,-13.36871,8.10856,-7.16696
-13.0,31.85230,-32.68724,-0.11334,0.82849
-13.5,27.91942,-28.36778,1.37798,-0.42854
-14.0,15.16641,-15.93514,-1.92110,2.80986
-14.5,0.22002,-0.82786,-9.66976,10.48337
-15.0,-11.38873,10.66714,-6.95518,7.94211
-15.5,-7.42910,6.86195,3.26855,-2.42204
-16.0,5.81322,-6.40555,11.03876,-10.16711
-16.5,15.75650,-16.37745,12.41858,-11.52649
-17.0,16.36965,-17.01687,10.84936,-9.96996
-17.5,4.83202,-5.46563,8.99403,-8.08083
-18.0,-7.01224,6.38541,3.68893,-2.80060
-18.5,-6.83778,6.21455,-4.22886,5.08585
-19.0,1.66644,-2.32977,-10.73731,11.59641
-19.5,9.66054,-10.35337,-10.26604,11.06731
-20.0,15.79591,-16.43947,-4.35796,5.19708
-20.5,22.66830,-23.28875,2.79208,-1.93556
-21.0,20.69858,-21.37106,8.24211,-7.27937
-21.5,9.09538,-9.72040,3.21764,-2.41614
-22.0,-1.37010,0.73715,-0.75119,1.61293
-22.5,-0.20458,-0.39513,2.05682,-1.19488
-23.0,3.27770,-3.90244,1.94420,-1.12058
-23.5,7.16660,-7.86119,0.13191,0.75015
-24.0,6.97085,-7.55017,-2.55420,3.41754
-24.5,8.26510,-8.87175,-3.89947,4.71480
-25.0,9.15188,-9.78450,-4.14206,4.98800
-25.5,10.71385,-11.29835,-3.24252,4.09001
-26.0,10.79268,-11.41055,-1.62249,2.46538
-26.5,10.66124,-11.29812,-1.32352,2.19188
-27.0,8.96236,-9.53343,0.30488,0.53026
-27.5,6.33228,-6.96920,0.95012,-0.07671
-28.0,6.33893,-6.95495,0.57890,0.31094
-28.5,8.99894,-9.65096,-0.43763,1.27773
-29.0,9.83689,-10.44431,-1.82978,2.78725
